user_id,grade_id,role,coin,score,streak,days_since_last_study,vip_days_remaining,is_vip_active,unit_progress_percent,section_progress_percent,active_days_7d,active_days_14d,active_days_30d,lessons_completed_7d,lessons_completed_14d,lessons_completed_30d,questions_answered_7d,questions_answered_14d,questions_answered_30d,accuracy_7d,accuracy_14d,accuracy_30d,avg_attempt_count_7d,coins_earned_7d,coins_earned_30d,writing_eval_count_30d,speaking_eval_count_30d,avg_writing_ai_score_30d,avg_speaking_ai_score_30d,skip_item_quantity,listening_accuracy_30d,speaking_accuracy_30d,reading_accuracy_30d,writing_accuracy_30d,vocabulary_accuracy_30d,grammar_accuracy_30d,strong_skill,weak_skill,trend_label
1,12,USER,217,1074,13,6,0,0,63.3,54.3,5,5,10,3,7,11,26,42,114,57.8,60.0,59.2,1.72,33,115,0,1,0.0,68.4,1,76.1,62.9,68.0,61.8,48.4,73.6,listening,vocabulary,STABLE
2,2,USER,299,2891,23,1,0,0,73.7,95.4,3,11,19,10,28,53,127,167,301,67.2,64.3,65.5,1.49,136,522,3,4,71.4,80.3,0,70.8,76.2,74.2,69.8,52.6,55.3,speaking,vocabulary,STABLE
3,8,USER,93,2375,11,3,0,0,89.8,91.3,3,9,18,10,15,35,70,90,231,60.4,59.8,59.5,1.83,105,323,1,2,50.8,60.2,0,79.1,53.0,67.2,48.8,61.7,68.6,listening,writing,STABLE
4,7,USER,526,2285,11,5,0,0,54.6,38.8,0,10,15,8,16,22,53,137,184,71.3,73.2,71.1,1.41,133,317,2,1,64.7,66.1,0,84.9,63.6,64.7,65.6,42.5,64.4,listening,vocabulary,STABLE
5,5,USER,998,3089,7,4,356,1,63.6,69.7,2,10,28,14,18,49,83,195,380,54.3,54.7,53.6,1.7,92,501,10,6,59.1,73.5,0,46.0,74.7,73.2,52.5,71.5,49.4,speaking,listening,STABLE
6,5,USER,0,1518,5,11,0,0,44.8,40.7,0,6,9,4,9,15,28,53,118,62.2,63.2,63.7,2.05,67,156,0,1,0.0,29.8,1,41.5,37.3,50.6,47.5,47.0,75.1,grammar,speaking,STABLE
7,11,USER,91,1532,1,2,0,0,70.8,85.5,2,9,10,5,9,21,52,95,169,52.2,54.0,57.2,1.67,59,238,1,0,73.5,0.0,1,58.1,48.4,60.3,75.4,53.5,53.7,writing,speaking,STABLE
8,3,USER,518,3912,25,3,0,0,77.8,75.7,4,13,29,30,39,60,187,359,550,43.1,53.3,51.0,1.83,279,618,8,7,38.5,54.7,0,54.6,45.5,42.5,45.7,44.3,63.3,grammar,reading,DECLINING
9,5,USER,0,1256,0,5,0,0,51.3,68.0,3,7,9,8,11,23,27,69,144,38.0,33.6,34.0,2.39,33,176,1,4,39.0,40.9,1,33.3,38.4,38.2,40.9,26.7,44.4,grammar,vocabulary,STABLE
10,6,USER,214,3294,19,4,10,1,73.8,72.2,6,9,20,16,37,54,155,232,413,44.2,42.4,42.1,2.06,242,529,5,8,54.2,69.9,0,59.8,55.9,42.6,49.2,52.9,29.8,listening,grammar,STABLE
11,7,USER,231,1414,8,10,0,0,38.2,41.5,3,4,10,4,7,18,40,70,119,35.7,41.4,35.1,2.1,67,173,0,1,0.0,62.6,3,27.4,51.0,53.1,63.3,27.5,34.5,writing,listening,STABLE
12,7,USER,280,1924,17,0,0,0,94.5,83.8,3,10,15,8,15,27,66,104,178,73.6,61.1,58.2,1.0,52,228,2,2,46.5,67.1,1,63.1,69.7,56.9,41.6,58.2,59.7,speaking,writing,IMPROVING
13,4,ADMIN,270,1744,16,7,0,0,45.4,26.7,5,5,11,11,16,23,37,60,120,70.9,63.7,65.6,1.79,85,257,2,0,50.3,0.0,0,76.8,65.3,64.8,52.4,88.2,58.4,vocabulary,writing,IMPROVING
14,9,USER,473,1519,7,4,273,1,57.1,72.7,0,3,7,3,7,11,25,41,75,61.4,61.5,64.8,1.72,55,143,0,0,0.0,0.0,5,77.9,48.4,52.2,58.5,64.8,66.2,listening,speaking,STABLE
15,1,USER,52,2594,6,5,0,0,39.7,40.4,2,10,16,8,21,33,76,155,232,60.0,62.2,65.1,1.42,112,292,3,4,57.5,51.5,0,72.6,58.9,64.8,56.8,70.2,74.5,grammar,writing,STABLE
16,4,USER,57,1804,6,13,0,0,49.4,54.5,3,5,11,4,10,18,41,61,135,52.2,53.7,54.7,1.81,86,189,0,0,0.0,0.0,0,49.3,51.2,60.7,72.2,60.9,74.9,grammar,listening,STABLE
17,3,USER,800,2843,6,7,248,1,93.1,76.1,3,9,17,10,14,38,50,142,314,62.7,59.4,61.3,1.43,175,397,2,1,65.3,49.0,0,61.5,48.0,63.1,52.9,62.9,69.1,grammar,speaking,STABLE
